Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
10000,2.143422,0.0,0.69333297,-0.22225817,-0.9999999310821295,248.0,-1.0000000894069672,1.620835460913487,0.18603657,0.10216214,0.00029958016,1.9174074,1.3778706
20000,1.8284984,0.0,0.38800535,0.16639584,-0.808829391537624,229.41860465116278,-0.8042778507584617,2.128299058902831,0.051736068,0.105000354,0.0002988272,0.55594337,0.9417038
30000,1.4834733,0.0,0.04412461,0.5915844,-0.9004958677275969,241.70731707317074,-0.902865157240913,2.5282380435438383,0.020500522,0.10206075,0.00029799863,0.5538252,0.6933579
40000,0.7802674,0.0,-0.15756753,0.77395517,-0.9558617209947509,243.4390243902439,-0.9558618664741516,0.7773661762475967,0.002442484,0.09767943,0.0002972461,0.2959725,0.36146653
50000,0.84920084,0.0,-0.22927262,0.59797287,-0.6642429959902074,211.22916666666666,-0.657156099030312,0.9791374612361827,0.008038598,0.10293851,0.00029649606,0.32908386,0.26918918
60000,1.0031416,0.0,-0.28700578,0.57158476,-0.6295480862932487,216.73333333333332,-0.6294889569282531,1.0606564233700435,0.008581027,0.10088827,0.00029566992,0.42785096,0.45350438
70000,1.0007439,0.0,-0.2539539,0.52474636,-0.5537074259149709,203.3673469387755,-0.5626333975791931,0.8596416652947664,0.010421996,0.09681921,0.00029484948,0.37398824,0.34688523
80000,0.86358947,0.0,-0.29365382,0.4615375,-0.6831629002104617,219.33333333333334,-0.6759621826085177,0.8396332712674682,0.0069523617,0.09605132,0.00029402762,0.3467681,0.32439572
90000,1.0150844,0.0,-0.30978385,0.3958216,-0.6334591985059281,217.8,-0.6334593203332689,0.7492182941072517,0.010380993,0.098290466,0.00029328943,0.34059346,0.36263105
100000,1.0214895,0.0,-0.22363874,0.34019887,-0.402524638282894,187.07407407407408,-0.4025494285203792,0.6284719732314072,0.010220508,0.09877635,0.00029254975,0.30978006,0.29600403
110000,0.96546113,0.0,-0.24575485,0.33587843,-0.7316741788368248,221.0,-0.731674310835925,0.5941119448874485,0.0061912253,0.096291944,0.00029173683,0.27505916,0.22282931
120000,0.8110563,0.0,-0.30616114,0.32127577,-0.8124805537626407,236.1627906976744,-0.8167121959003535,0.543576713566753,0.004061962,0.10337033,0.0002909105,0.21903285,0.12688947
130000,0.83094716,0.0,-0.34457177,0.32550612,-0.8589999340008945,238.075,-0.8590000763535499,0.8266386374831199,0.004604978,0.09794017,0.00029007703,0.28834358,0.20827548
140000,0.88194287,0.0,-0.24069397,0.38703197,-0.6516883430101544,221.2608695652174,-0.651688470788624,0.6267455515411237,0.005901983,0.0953883,0.00028933238,0.2925799,0.14931501
150000,0.9427943,0.0,-0.1976542,0.3346261,-0.5877446189393943,209.2127659574468,-0.5877447381932684,0.5096892640390929,0.008368732,0.100481965,0.00028857865,0.26849875,0.112972066
160000,0.9235319,0.0,-0.2404269,0.30936012,-0.33134562729995837,183.27777777777777,-0.33134573366906905,0.5070143040373094,0.011411831,0.10013051,0.00028774422,0.27244696,0.20396903
170000,1.0444493,0.0,-0.08448225,0.31005257,0.16117699415549452,125.04938271604938,0.17565830796957016,0.30957898892229424,0.02017149,0.097840294,0.00028692448,0.25066245,0.17755978
180000,1.1309712,0.0,-0.05113335,0.30105132,0.046791153096904355,133.68,0.04682663679122925,0.34632605383793513,0.015239922,0.10293525,0.00028618908,0.26533693,0.18439393
190000,1.029578,1.0,0.2563476,0.24134289,0.6185360617756315,63.87162162162162,0.6076733793988324,0.12211752701675732,0.024180083,0.09581312,0.00028545657,0.19516334,0.115333125
200000,1.0399432,1.0,-0.11042306,0.2627149,-0.08231661607666561,165.01666666666668,-0.08231672495603562,0.3491463935856397,0.017373206,0.102261364,0.0002846304,0.19551124,0.116918124
210000,0.8308203,1.0,0.104443006,0.25129962,0.47493910305552506,106.10752688172043,0.4909419786670934,0.13550397450023371,0.00894897,0.0959734,0.00028380682,0.13703892,0.06852989
220000,0.6962636,1.0,0.406917,0.2402933,0.5949388685627678,91.1651376146789,0.5814800820219408,0.09181465003468575,0.0036661797,0.098431714,0.00028298068,0.09673962,0.032646783
230000,0.7277656,1.0,0.50309455,0.23182519,0.5137426052519148,98.25742574257426,0.513310415779843,0.1155968831815556,0.0043364656,0.11012755,0.0002822434,0.11304374,0.04844959
240000,0.7208543,1.0,0.42967027,0.23419623,0.462891192227716,102.63265306122449,0.460635698333229,0.13851088959454877,0.0067983805,0.10715737,0.00028151058,0.15994501,0.06100304
250000,0.70728457,1.0,0.39132887,0.23944828,0.4649677759171614,103.12903225806451,0.4648960085325344,0.1507723662121001,0.0076832236,0.104373395,0.00028069192,0.15166524,0.067834616
260000,0.7764616,1.0,0.33992293,0.24036306,0.34785988881908864,113.6590909090909,0.35168535287460584,0.20023435955929958,0.007825397,0.09958862,0.0002798723,0.19205087,0.11921762
270000,0.77084094,1.0,0.37448975,0.2750846,0.38628726846914974,107.15957446808511,0.4011791790685346,0.17537054617799097,0.00991856,0.10169576,0.0002790484,0.17198145,0.10937494
280000,0.7421518,1.0,0.43422645,0.2901951,0.521195430003492,84.25,0.5212068922560791,0.13662276229949605,0.012631156,0.09933575,0.00027829886,0.17561226,0.12236033
290000,0.7899402,2.0,0.32708737,0.267226,0.16299565391014575,125.69736842105263,0.1629780523086849,0.2502483454422633,0.010117902,0.10606815,0.000277557,0.18076473,0.1565087
300000,0.76209027,2.0,-0.07049988,0.22382952,-0.5224166081267564,212.375,-0.5224445027609667,0.43895527464337647,0.006603238,0.10119097,0.00027674358,0.22429395,0.16242409
310000,0.7907104,2.0,-0.12266597,0.21284772,-0.4889999411922569,204.0,-0.4993742157001885,0.430981862947953,0.0069231964,0.10015579,0.00027592032,0.19180566,0.12475793
320000,0.80892724,2.0,-0.064116254,0.1985505,-0.07082582315874857,150.61194029850745,-0.08529801034566128,0.26559049239607924,0.0110318065,0.09677516,0.00027509406,0.1866878,0.13537648
330000,0.8846116,3.0,0.03331275,0.1755749,0.2739326571178761,103.19148936170212,0.29397871487952293,0.17071891526513278,0.009374856,0.10106739,0.0002743496,0.15353239,0.10668042
340000,1.0930032,3.0,-0.31781155,0.17838266,-0.9991999311605468,248.0,-0.9992195971128417,0.38549830528294166,0.00023603148,0.10812388,0.00027359516,0.15307131,0.12158036
350000,1.0190115,3.0,-0.3631763,0.16971153,-0.9992665978206787,248.0,-0.9992479483286539,0.3567094338627962,0.00015452414,0.102838136,0.00027275668,0.14597785,0.124711774
360000,0.9167856,3.0,-0.3867188,0.14425917,-0.9568582650099415,243.675,-0.9579106532945866,0.3796787685373934,0.00069699425,0.10182823,0.00027191848,0.16324744,0.10487379
370000,0.9594479,3.0,-0.38011205,0.15697896,-0.9705582650087308,247.0,-0.9705584168434143,0.4576160289347172,0.00022955419,0.101022735,0.00027116688,0.19029084,0.1233422
380000,0.79832435,3.0,-0.39464977,0.20684503,-0.9707235085675721,246.9512195121951,-0.9707236617076688,0.47836331986799474,0.0015769852,0.106115006,0.0002704154,0.18629192,0.10698645
390000,0.74578094,3.0,-0.3917373,0.20810775,-0.9418499312538188,246.1,-0.9418500788509846,0.5166974700987339,0.0018057743,0.10015273,0.0002695807,0.2019403,0.13165918
400000,0.74659485,3.0,-0.39666831,0.23122762,-0.8997082658868749,241.925,-0.8997084096074104,0.5387973941862583,0.0032548378,0.09608723,0.0002688344,0.21333563,0.15777783
410000,0.80149233,3.0,-0.35228074,0.2528543,-0.859837140850073,242.25581395348837,-0.8565000749769665,0.6215958439833706,0.003030388,0.10337921,0.00026808569,0.25436687,0.21006224
420000,0.8561439,3.0,-0.35006618,0.28166735,-0.8163729505779754,232.33333333333334,-0.8164365724438712,0.6034198115091949,0.00566502,0.10321947,0.0002672544,0.2440109,0.20600304
430000,0.79850584,3.0,-0.37124047,0.283779,-0.9693249308795202,246.9,-0.9692584089934826,0.627368271164596,0.0013339135,0.102615476,0.0002664216,0.25692317,0.13158287
440000,0.8036603,3.0,-0.35957778,0.25446695,-0.7577221577854029,229.5952380952381,-0.7633566593014917,0.5153203377890032,0.005832609,0.10276053,0.00026567315,0.21544652,0.14913423
450000,0.74775285,3.0,-0.29746,0.24532813,-0.8541627238710346,241.02325581395348,-0.8507222902207148,0.5490556038206532,0.0033032442,0.096887976,0.0002649334,0.22774532,0.13658266
460000,0.6836959,3.0,-0.22157586,0.22846496,-0.6237406806140724,215.57777777777778,-0.6318913698196411,0.4405750394596354,0.006624366,0.103115484,0.00026411022,0.21169814,0.09153986
470000,0.68045586,3.0,-0.23490635,0.23147091,-0.8669766770069336,238.34883720930233,-0.8638413363978976,0.5034047868989763,0.002892028,0.097647555,0.00026328064,0.21952479,0.11113117
480000,0.6600364,3.0,-0.27955136,0.23440917,-0.7225425713803879,225.58139534883722,-0.7288182445547797,0.4603671328249303,0.0054694056,0.097582415,0.00026245022,0.21146598,0.1071306
490000,0.6116187,3.0,-0.26252982,0.21813087,-0.7651824736579632,231.33333333333334,-0.7651826100690025,0.4803860425239518,0.0031761571,0.09560862,0.000261709,0.20443043,0.089690015
500000,0.6325326,3.0,-0.29510453,0.21586455,-0.6986591953318566,223.06666666666666,-0.6986593253082699,0.4259824278453986,0.006875123,0.10108759,0.0002609683,0.19930156,0.094391264
510000,0.66341656,3.0,-0.27753922,0.19427091,-0.6701287231831388,228.36363636363637,-0.662457428699316,0.42153717287231324,0.0061591933,0.09719629,0.00026014072,0.19610403,0.094599366
520000,0.63066787,3.0,-0.2357458,0.20711261,-0.7581665995419913,229.4047619047619,-0.763790768246318,0.41440707185240677,0.005487822,0.0959142,0.0002593138,0.1918701,0.098489106
530000,0.6193856,3.0,-0.22296196,0.19223326,-0.7861287216550078,234.38636363636363,-0.7811551191085992,0.3494217604571997,0.004864813,0.0996988,0.00025849443,0.15557747,0.05934329
540000,0.63903946,3.0,-0.21478984,0.18339704,-0.7145038097934407,229.2325581395349,-0.7145349528900412,0.38517230160014576,0.0040155277,0.09838491,0.00025775033,0.17433378,0.06896965
550000,0.6085662,3.0,-0.23907916,0.18865843,-0.6856422105224849,230.65853658536585,-0.6930953030075345,0.34868776248324485,0.0066986782,0.104481496,0.0002570139,0.15511122,0.065396585
560000,0.632048,3.0,-0.2578454,0.1583508,-0.7111628989430352,226.13333333333333,-0.7111630393399133,0.30126396119594573,0.0059378925,0.09863765,0.00025619203,0.14619711,0.072293274
570000,0.7096667,3.0,-0.22257113,0.15830362,-0.7078147515085422,225.4,-0.7012349211356856,0.3109266586305404,0.0056398395,0.10612605,0.00025536914,0.15053517,0.06737408
580000,0.67311686,3.0,-0.21944037,0.15914232,-0.7435735790437997,225.04651162790697,-0.7493409778584134,0.32939973524348304,0.0051464946,0.10071303,0.00025462423,0.15586697,0.0807817
590000,0.7121466,3.0,-0.20170541,0.15224998,-0.6097020673555659,214.7872340425532,-0.6097021914542989,0.3487651296445426,0.0048264028,0.09772666,0.0002538769,0.16405529,0.10703846
600000,0.73771715,3.0,-0.23696306,0.15287517,-0.6222802407785573,216.5,-0.6222803694280711,0.32589512987231667,0.0048237913,0.09855885,0.0002530544,0.15551633,0.08794067
610000,0.72472084,3.0,-0.20395546,0.14070213,-0.6177588042188832,216.82978723404256,-0.6094493425410726,0.3756303710701025,0.005843729,0.09770755,0.0002522328,0.17009181,0.09377804
620000,0.7863554,3.0,-0.27279085,0.14613399,-0.838309455230566,237.66666666666666,-0.8383095945630755,0.3925759391415687,0.002602965,0.102838084,0.00025140538,0.16502051,0.10832493
630000,0.79585856,3.0,-0.30987918,0.16002153,-0.7155453917856159,222.6818181818182,-0.7218667374716865,0.34548402279615403,0.0032241445,0.10303976,0.000250655,0.15589073,0.10897708
640000,0.8033686,3.0,-0.29602146,0.15805739,-0.6233777148752577,220.93333333333334,-0.6148182505911047,0.347866262901913,0.00733424,0.097298935,0.00024991218,0.16223621,0.105318725
650000,0.7747814,3.0,-0.27198112,0.15663873,-0.4624625249309655,205.81632653061226,-0.4732133960723877,0.3302031820639968,0.0066924514,0.104296505,0.00024907585,0.17002477,0.09307422
660000,0.7771473,3.0,-0.2806569,0.16442811,-0.761806137605332,229.37209302325581,-0.7956032540116992,0.3717658131250313,0.0038815562,0.100400195,0.00024824188,0.16747376,0.096044675
670000,0.8019987,3.0,-0.30806255,0.16883026,-0.7041438765167682,225.5909090909091,-0.6665303768082098,0.35823575921610673,0.0053102644,0.09812548,0.0002474959,0.1723348,0.110599205
680000,0.7562377,3.0,-0.22229706,0.1707335,-0.5179782010331426,209.54347826086956,-0.5281773596367938,0.3066792193641688,0.004747473,0.09704907,0.00024675508,0.15074845,0.07511133
690000,0.770367,3.0,-0.1263194,0.16312529,-0.41526791625017045,200.37254901960785,-0.4333400672674179,0.2759310825075954,0.006722332,0.10159103,0.00024592222,0.15019771,0.07824651
700000,0.8264713,3.0,-0.025182793,0.13205075,-0.38697994228918103,200.24,-0.38858006715774535,0.26272527143359187,0.006046377,0.10409381,0.00024508638,0.13690852,0.081902854
710000,0.8027607,3.0,-0.021627994,0.12438134,-0.2661571781159783,183.03773584905662,-0.2507037647344448,0.24140553821430163,0.0069430904,0.10139225,0.00024433466,0.14858247,0.08658366
720000,0.8140645,3.0,-0.065377176,0.13314486,-0.36679079177259816,193.19607843137254,-0.3667909070557239,0.22946285858165985,0.0055946936,0.10407557,0.00024359168,0.1244444,0.06724925
730000,0.7595091,3.0,-0.027506476,0.1471451,-0.21994637539527112,183.07142857142858,-0.23289703672582454,0.22557265185327693,0.008201411,0.09802858,0.00024277263,0.13480733,0.08064272
740000,0.70850164,3.0,-0.040491,0.16635677,0.010101746010073161,165.66101694915255,0.009875650123014288,0.19944162926463,0.009561429,0.10676543,0.0002419574,0.12297968,0.064212725
750000,0.6886676,3.0,0.16795062,0.14738952,0.16338730456225356,145.4558823529412,0.16834777636804443,0.14700364516508105,0.006906511,0.101221904,0.00024113157,0.10227547,0.055122912
760000,0.63892376,3.0,0.24659622,0.11989111,0.18623337881373508,141.5857142857143,0.20340573744497437,0.1442246789895538,0.0058815824,0.10141668,0.00024039508,0.10813583,0.057086054
770000,0.60464066,3.0,0.2808394,0.124050826,0.2864800443934898,133.93333333333334,0.26505328218142193,0.14203381723413866,0.0061510364,0.099909596,0.00023965805,0.10737731,0.049349535
780000,0.58557695,3.0,0.32068843,0.14496733,0.37544170701003166,123.85,0.37650828436017036,0.10250837164931,0.005473355,0.100724004,0.00023884067,0.08702354,0.042320713
790000,0.5407689,3.0,0.30320668,0.17612828,0.3468290984463424,123.76923076923077,0.34607687516090196,0.11386048246939214,0.00721868,0.100875854,0.00023801131,0.10890593,0.043806482
800000,0.5421681,3.0,0.2529368,0.15228125,0.2829351086780284,129.4805194805195,0.283367910942474,0.11033052813213368,0.007826616,0.09560905,0.00023719281,0.08905809,0.04353279
810000,0.56548464,3.0,0.268818,0.15038179,0.4422797324301825,115.41379310344827,0.4414367316098049,0.0922085558888556,0.006493963,0.099456005,0.0002364518,0.08469182,0.04891747
820000,0.60769427,3.0,0.274353,0.14602719,0.31757460097096074,126.75,0.3170832819060275,0.10485522954810508,0.0063799145,0.107727125,0.00023571262,0.086449765,0.065022595
830000,0.5333503,3.0,0.18319426,0.1582456,0.21616670978570207,137.32432432432432,0.2160224624582239,0.13229502686236455,0.0087339645,0.10622835,0.00023488347,0.10355835,0.06531444
840000,0.56903875,3.0,0.30468076,0.15938528,0.466458372422494,112.47727272727273,0.4673219224946065,0.08615853707306087,0.007863701,0.105814084,0.0002340631,0.08545005,0.052817553
850000,0.5526817,3.0,0.3565656,0.14178602,0.4602584656579106,111.40449438202248,0.4604980851827043,0.08154845130996088,0.0047427206,0.09686363,0.00023324652,0.076926835,0.05055489
860000,0.55531716,3.0,0.3862719,0.12935136,0.43373488797806203,112.0909090909091,0.4325226856903596,0.07748923689888959,0.005155985,0.102057196,0.00023251308,0.07443218,0.054029576
870000,0.5287741,3.0,0.40207377,0.1267698,0.48836204409599304,105.41935483870968,0.48940856065801397,0.06429858231336198,0.0044238763,0.09722536,0.0002317784,0.064639345,0.04480336
880000,0.50891143,3.0,0.43132776,0.12887385,0.5303198989066813,101.35353535353535,0.5300773984254009,0.057855996218594635,0.004043255,0.09712835,0.00023094837,0.06628181,0.04050587
890000,0.46040428,3.0,0.51235324,0.12223807,0.6397087412408075,89.17117117117117,0.638927885003992,0.04715838139826382,0.0018350047,0.09679398,0.00023012613,0.06260639,0.0358214
