Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
10000,2.111282,0.0,0.21514352,0.053198192,0.13156188,0.10045119,0.00029956814,1.4390541,1.1697776,-0.9313508079534298,244.0,-0.9184792470186949,3.5206905845552683
20000,1.7346188,0.0,-0.08800238,0.543406,0.17837739,0.10606529,0.0002989001,0.6317355,1.0228072,-0.9711925235266486,246.35555555555555,-0.9729931422819694,2.216803358246883
30000,1.3250993,0.0,-0.20572059,0.8037547,0.010160734,0.112451255,0.000298135,0.5399215,0.83473873,-0.9316086280767036,241.82608695652175,-0.9250953254245576,1.7672621054308755
40000,1.2795639,0.0,-0.2757666,0.74817294,0.007740085,0.10216072,0.00029733405,0.4634098,0.6599955,-0.645561842799985,216.74285714285713,-0.6736141082487608,1.200434573386845
50000,1.1881241,0.0,-0.27123147,0.6493435,0.006896561,0.10451586,0.00029656236,0.45943302,0.590718,-0.836061661640458,234.90740740740742,-0.8389940229329196,1.1587570732290096
60000,1.0541848,0.0,-0.27332497,0.5737949,0.0055876505,0.09558538,0.00029586622,0.3558526,0.37398338,-0.6834593934598505,223.05405405405406,-0.6450909773508707,0.9571573047926931
70000,1.0028089,0.0,-0.23542558,0.51900285,0.011385113,0.09812379,0.00029510958,0.33220214,0.3391893,-0.6417975545794304,221.10714285714286,-0.6285309361086951,0.7993691087596946
80000,0.9182978,0.0,-0.23038009,0.52803767,0.005413633,0.10261784,0.0002943894,0.3424948,0.2829072,-0.8081666001671692,231.5,-0.838456215042817,0.8655444646352216
90000,0.7799069,0.0,-0.27579683,0.48991072,0.0035606653,0.1003537,0.00029361193,0.29943454,0.25063342,-0.8684254652087359,236.5531914893617,-0.8656232648569605,0.8273470602605654
100000,0.85874844,0.0,-0.27898765,0.42307413,0.004084306,0.18166707,0.00029285174,0.2787889,0.24940178,-0.8476665998168755,235.1,-0.8513171505637285,0.7431547559979486
